index,plant_id,tray_id,plant_width (px),plant_width(mm),ns_lenght (mm),error_nslenght,plant_height (px),plant_height (mm),we_lenght(mm),error_welenght
130,plant19,3,48,61.54,55.76,5.78,31,39.74,37.14,2.60
131,plant20,3,53,67.95,57.42,10.53,48,61.54,55.49,6.05
132,plant21,3,47,60.26,43.53,16.73,39,50.00,45.37,4.63
133,plant22,3,55,70.51,48.85,21.66,30,38.46,31.62,6.84
134,plant23,3,51,65.38,54.19,11.19,32,41.03,29.09,11.94
135,plant24,3,40,51.28,49.53,1.75,32,41.03,36.16,4.87
136,plant25,3,39,50.00,48.35,1.65,28,35.90,34.44,1.46
137,plant26,3,37,47.44,47.81,0.37,44,56.41,60.72,4.31
138,plant27,3,32,41.03,39.08,1.95,30,38.46,34.04,4.42
139,plant28,3,39,50.00,55.08,5.08,47,60.26,62.97,2.71
140,plant29,3,33,42.31,35.41,6.90,36,46.15,50.35,4.20
141,plant30,3,42,53.85,27,26.85,39,50.00,50.06,0.06
142,plant31,3,51,65.38,40.88,24.50,37,47.44,45.89,1.55
143,plant32,3,63,80.77,70.44,10.33,38,48.72,52.44,3.72
144,plant33,3,52,66.67,39.99,26.68,42,53.85,63.28,9.43
145,plant34,3,44,56.41,41.96,14.45,38,48.72,49.48,0.76
146,plant35,3,47,60.26,45.14,15.12,40,51.28,52.66,1.38
147,plant36,3,33,42.31,40.92,1.39,32,41.03,43.23,2.20
148,plant37,3,31,39.74,39.35,0.39,35,44.87,42.55,2.32
149,plant38,3,35,44.87,50.66,5.79,28,35.90,25.1,10.80
150,plant39,3,48,61.54,63.37,1.83,45,57.69,57.44,0.25
151,plant40,3,30,38.46,31.88,6.58,36,46.15,42.98,3.17
152,plant41,3,51,65.38,49.03,16.35,28,35.90,27.21,8.69
153,plant42,3,40,51.28,33.38,17.90,35,44.87,48.3,3.43
154,plant43,3,60,76.92,55.05,21.87,36,46.15,36.51,9.64
155,plant44,3,38,48.72,27.43,21.29,39,50.00,52.19,2.19
156,plant45,3,36,46.15,27.67,18.48,44,56.41,66.66,10.25
157,plant46,3,35,44.87,43.32,1.55,31,39.74,26.48,13.26
158,plant47,3,31,39.74,35.19,4.55,31,39.74,31.13,8.61
159,plant48,3,36,46.15,43.14,3.01,30,38.46,25.13,13.33
160,plant49,3,35,44.87,47.2,2.33,42,53.85,49.66,4.19
161,plant50,3,35,44.87,39.38,5.49,37,47.44,34.34,13.10
162,plant51,3,35,44.87,34.07,10.80,32,41.03,39.27,1.76
163,plant52,3,38,48.72,46.46,2.26,32,41.03,32.64,8.39
164,plant53,3,44,56.41,49.93,6.48,36,46.15,33.78,12.37
165,plant54,3,56,71.79,40.64,31.15,42,53.85,43.53,10.32
