,plant_max_temp,plant_min_temp,plant_mean_temp,plant_median_temp,plant_thermal_frequencies
10,1238.0,1204.0,1220.1761744966443,1220.0,"[0.25167785234899326, 0.0, 0.16778523489932887, 0.0, 0.0, 0.25167785234899326, 0.0, 0.0, 0.7550335570469799, 0.0, 0.0, 2.2651006711409396, 0.0, 0.0, 3.104026845637584, 0.0, 0.0, 3.691275167785235, 0.0, 0.0, 2.6006711409395975, 0.0, 0.0, 3.523489932885906, 0.0, 0.0, 4.110738255033557, 0.0, 0.0, 3.6073825503355708, 0.0, 0.0, 3.1879194630872485, 0.0, 0.0, 4.110738255033557, 0.0, 0.0, 3.3557046979865772, 0.0, 0.0, 5.285234899328859, 0.0, 0.0, 4.949664429530201, 0.0, 0.0, 6.62751677852349, 0.0, 0.0, 5.453020134228188, 0.0, 4.697986577181208, 0.0, 0.0, 4.781879194630872, 0.0, 0.0, 5.7885906040268456, 0.0, 0.0, 3.4395973154362416, 0.0, 0.0, 3.104026845637584, 0.0, 0.0, 3.6073825503355708, 0.0, 0.0, 3.859060402684564, 0.0, 0.0, 3.523489932885906, 0.0, 0.0, 3.0201342281879198, 0.0, 0.0, 1.5939597315436242, 0.0, 0.0, 0.9228187919463088, 0.0, 0.0, 2.2651006711409396, 0.0, 0.0, 1.006711409395973, 0.0, 0.0, 0.33557046979865773, 0.0, 0.0, 0.587248322147651, 0.0, 0.0, 0.08389261744966443, 0.0, 0.08389261744966443]"
11,1258.0,0.0,1210.4648506151143,1244.0,"[2.724077328646749, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 62.741652021089635, 34.53427065026362]"
12,1255.0,1235.0,1245.4981343283582,1245.5,"[0.2798507462686567, 0.0, 0.0, 0.0, 0.0, 1.1194029850746268, 0.0, 0.0, 0.0, 0.0, 1.3992537313432836, 0.0, 0.0, 0.0, 0.0, 2.798507462686567, 0.0, 0.0, 0.0, 0.0, 4.9440298507462686, 0.0, 0.0, 0.0, 0.0, 5.410447761194029, 0.0, 0.0, 0.0, 0.0, 5.410447761194029, 0.0, 0.0, 0.0, 0.0, 8.115671641791044, 0.0, 0.0, 0.0, 0.0, 6.902985074626866, 0.0, 0.0, 0.0, 0.0, 6.7164179104477615, 0.0, 0.0, 0.0, 0.0, 6.902985074626866, 0.0, 0.0, 0.0, 0.0, 6.529850746268656, 0.0, 0.0, 0.0, 0.0, 6.343283582089552, 0.0, 0.0, 0.0, 0.0, 6.7164179104477615, 0.0, 0.0, 0.0, 0.0, 6.809701492537314, 0.0, 0.0, 0.0, 0.0, 7.649253731343284, 0.0, 0.0, 0.0, 0.0, 5.503731343283582, 0.0, 0.0, 0.0, 0.0, 6.529850746268656, 0.0, 0.0, 0.0, 0.0, 2.5186567164179103, 0.0, 0.0, 0.0, 0.0, 1.0261194029850746, 0.0, 0.0, 0.0, 0.3731343283582089]"
13,1255.0,1235.0,1243.8993808049536,1244.0,"[0.8513931888544891, 0.0, 0.0, 0.0, 0.0, 2.941176470588235, 0.0, 0.0, 0.0, 0.0, 4.102167182662539, 0.0, 0.0, 0.0, 0.0, 3.7151702786377707, 0.0, 0.0, 0.0, 0.0, 3.560371517027864, 0.0, 0.0, 0.0, 0.0, 4.3343653250774, 0.0, 0.0, 0.0, 0.0, 5.263157894736842, 0.0, 0.0, 0.0, 0.0, 9.287925696594428, 0.0, 0.0, 0.0, 0.0, 9.13312693498452, 0.0, 0.0, 0.0, 0.0, 12.074303405572756, 0.0, 0.0, 0.0, 0.0, 8.6687306501548, 0.0, 0.0, 0.0, 0.0, 11.145510835913312, 0.0, 0.0, 0.0, 0.0, 8.281733746130032, 0.0, 0.0, 0.0, 0.0, 5.108359133126935, 0.0, 0.0, 0.0, 0.0, 3.7151702786377707, 0.0, 0.0, 0.0, 0.0, 2.476780185758514, 0.0, 0.0, 0.0, 0.0, 2.941176470588235, 0.0, 0.0, 0.0, 0.0, 1.4705882352941175, 0.0, 0.0, 0.0, 0.0, 0.6191950464396285, 0.0, 0.0, 0.0, 0.0, 0.23219814241486067, 0.0, 0.0, 0.0, 0.07739938080495357]"
14,1253.0,1236.0,1243.9276773296244,1244.0,"[0.6954102920723227, 0.0, 0.0, 0.0, 0.0, 2.642559109874826, 0.0, 0.0, 0.0, 0.0, 0.0, 7.927677329624479, 0.0, 0.0, 0.0, 0.0, 0.0, 8.344923504867872, 0.0, 0.0, 0.0, 0.0, 0.0, 5.4242002781641165, 0.0, 0.0, 0.0, 0.0, 0.0, 6.675938803894297, 0.0, 0.0, 0.0, 0.0, 0.0, 7.510431154381085, 0.0, 0.0, 0.0, 0.0, 0.0, 8.066759388038943, 0.0, 0.0, 0.0, 0.0, 0.0, 7.232267037552156, 0.0, 0.0, 0.0, 0.0, 6.954102920723226, 0.0, 0.0, 0.0, 0.0, 0.0, 8.205841446453407, 0.0, 0.0, 0.0, 0.0, 0.0, 7.093184979137692, 0.0, 0.0, 0.0, 0.0, 0.0, 6.954102920723226, 0.0, 0.0, 0.0, 0.0, 0.0, 6.11961057023644, 0.0, 0.0, 0.0, 0.0, 0.0, 5.702364394993046, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5034770514603615, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3908205841446455, 0.0, 0.0, 0.0, 0.0, 0.5563282336578581]"
15,1250.0,1235.0,1244.1575898030128,1245.0,"[0.2317497103128621, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2746234067207416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9698725376593278, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0127462340672073, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7079953650057935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8238702201622248, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.40324449594438, 0.0, 0.0, 0.0, 0.0, 0.0, 5.44611819235226, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.690614136732329, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.977983777520278, 0.0, 0.0, 0.0, 0.0, 0.0, 18.076477404403242, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.295480880648899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.776361529548089, 0.0, 0.0, 0.0, 0.0, 0.0, 6.60486674391657, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1286210892236386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5793742757821553]"
16,1247.0,1237.0,1241.498447204969,1242.0,"[6.211180124223603, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.627329192546584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.248447204968944, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.006211180124224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.043478260869565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.149068322981368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.559006211180124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.782608695652174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.260869565217391, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3975155279503106]"
17,1249.0,1228.0,1238.8580015026296,1239.0,"[0.15026296018031557, 0.0, 0.0, 0.0, 0.67618332081142, 0.0, 0.0, 0.0, 0.0, 1.5777610818933134, 0.0, 0.0, 0.0, 0.0, 2.404207362885049, 0.0, 0.0, 0.0, 0.0, 3.5311795642374153, 0.0, 0.0, 0.0, 3.6814425244177307, 0.0, 0.0, 0.0, 0.0, 3.3809166040571, 0.0, 0.0, 0.0, 0.0, 5.559729526671676, 0.0, 0.0, 0.0, 0.0, 6.7618332081142, 0.0, 0.0, 0.0, 7.43801652892562, 0.0, 0.0, 0.0, 0.0, 10.217881292261458, 0.0, 0.0, 0.0, 0.0, 8.940646130728776, 0.0, 0.0, 0.0, 0.0, 10.593538692712247, 0.0, 0.0, 0.0, 8.264462809917356, 0.0, 0.0, 0.0, 0.0, 6.6115702479338845, 0.0, 0.0, 0.0, 0.0, 6.010518407212622, 0.0, 0.0, 0.0, 0.0, 5.184072126220887, 0.0, 0.0, 0.0, 3.606311044327573, 0.0, 0.0, 0.0, 0.0, 3.5311795642374153, 0.0, 0.0, 0.0, 0.0, 1.2772351615326822, 0.0, 0.0, 0.0, 0.0, 0.5259203606311045, 0.0, 0.0, 0.0, 0.07513148009015778]"
18,1246.0,1228.0,1238.3866837387964,1238.0,"[0.2560819462227913, 0.0, 0.0, 0.0, 0.0, 0.2560819462227913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2560819462227913, 0.0, 0.0, 0.0, 0.0, 0.8962868117797695, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5364916773367476, 0.0, 0.0, 0.0, 0.0, 5.377720870678617, 0.0, 0.0, 0.0, 0.0, 0.0, 8.450704225352112, 0.0, 0.0, 0.0, 0.0, 9.859154929577464, 0.0, 0.0, 0.0, 0.0, 0.0, 6.402048655569782, 0.0, 0.0, 0.0, 0.0, 0.0, 7.810499359795134, 0.0, 0.0, 0.0, 0.0, 9.603072983354673, 0.0, 0.0, 0.0, 0.0, 0.0, 7.93854033290653, 0.0, 0.0, 0.0, 0.0, 9.859154929577464, 0.0, 0.0, 0.0, 0.0, 0.0, 8.450704225352112, 0.0, 0.0, 0.0, 0.0, 8.8348271446863, 0.0, 0.0, 0.0, 0.0, 0.0, 6.530089628681178, 0.0, 0.0, 0.0, 0.0, 3.713188220230474, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0729833546734953, 0.0, 0.0, 0.0, 0.0, 0.8962868117797695]"
19,1240.0,1220.0,1230.6826923076924,1231.0,"[0.5244755244755245, 0.0, 0.0, 0.0, 0.0, 1.2237762237762237, 0.0, 0.0, 0.0, 0.0, 2.272727272727273, 0.0, 0.0, 0.0, 0.0, 2.097902097902098, 0.0, 0.0, 0.0, 0.0, 2.1853146853146854, 0.0, 0.0, 0.0, 0.0, 4.020979020979021, 0.0, 0.0, 0.0, 0.0, 2.36013986013986, 0.0, 0.0, 0.0, 0.0, 3.234265734265734, 0.0, 0.0, 0.0, 0.0, 7.43006993006993, 0.0, 0.0, 0.0, 0.0, 8.304195804195805, 0.0, 0.0, 0.0, 0.0, 8.391608391608392, 0.0, 0.0, 0.0, 0.0, 11.013986013986015, 0.0, 0.0, 0.0, 0.0, 13.54895104895105, 0.0, 0.0, 0.0, 0.0, 11.101398601398602, 0.0, 0.0, 0.0, 0.0, 7.954545454545454, 0.0, 0.0, 0.0, 0.0, 4.458041958041958, 0.0, 0.0, 0.0, 0.0, 4.458041958041958, 0.0, 0.0, 0.0, 0.0, 3.4965034965034967, 0.0, 0.0, 0.0, 0.0, 1.3111888111888113, 0.0, 0.0, 0.0, 0.0, 0.4370629370629371, 0.0, 0.0, 0.0, 0.17482517482517482]"
