,Date,Unnamed: 0,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
31,2023-02-01,31,plant31,True,1401.0,2148.5,0.6520828484989527,365.26197350025177,66,45,483,"(1542.7780157030693, 467.10278372591006)",18,True,"(1540.42236328125, 465.9241638183594)",67.02041625976562,34.70402526855469,109.55220794677734,0.8554939906315348,55,55,100.0
32,2023-02-01,32,plant32,True,1995.0,2728.5,0.7311709730621221,353.36247873306274,78,53,521,"(1709.2852130325814, 458.2781954887218)",16,True,"(1707.8759765625, 457.32281494140625)",68.00049591064453,45.327781677246094,78.59508514404297,0.745433354315063,55,55,100.0
33,2023-02-01,33,plant33,True,1666.0,2134.0,0.7806935332708529,267.8650048971176,73,43,492,"(106.73769507803121, 628.7761104441777)",23,True,"(106.61652374267578, 628.8623657226562)",66.99420928955078,36.82099533081055,87.09584045410156,0.8354183352760893,55,55,100.0
34,2023-02-01,34,plant34,True,1402.0,1762.5,0.7954609929078014,198.6518018245697,61,41,437,"(276.339514978602, 629.3288159771755)",18,True,"(276.067138671875, 629.4336547851562)",61.05695724487305,35.62599563598633,71.07949829101562,0.8121218338310006,55,55,100.0
35,2023-02-01,35,plant35,True,1188.0,1432.0,0.8296089385474861,183.82337474823,50,46,386,"(433.20791245791247, 633.5311447811448)",16,True,"(433.0375671386719, 633.4086303710938)",54.03269577026367,32.530364990234375,51.89661407470703,0.79845866017704,55,55,100.0
36,2023-02-01,36,plant36,True,1314.0,1337.5,0.982429906542056,154.36753106117249,44,44,314,"(598.6324200913242, 626.9497716894978)",18,True,"(598.3345947265625, 627.1401977539062)",47.95001602172852,34.23076248168945,37.68994903564453,0.7002636933236465,55,55,100.0
37,2023-02-01,37,plant37,True,936.0,1133.0,0.8261253309796999,183.5807341337204,50,32,348,"(750.0160256410256, 620.3418803418804)",18,True,"(750.1397094726562, 620.4832763671875)",46.832427978515625,27.94135856628418,106.4365234375,0.8025207769046165,55,55,100.0
38,2023-02-01,38,plant38,True,1067.0,1355.5,0.7871634083364072,218.4091612100601,42,46,323,"(909.5979381443299, 624.9775070290534)",16,True,"(909.832275390625, 625.73388671875)",44.08541488647461,35.18682098388672,159.3872528076172,0.6024573614154863,55,55,100.0
39,2023-02-01,39,plant39,True,831.0,954.0,0.8710691823899371,149.53910398483276,35,41,306,"(1064.0685920577616, 621.7256317689531)",17,True,"(1063.8524169921875, 621.9435424804688)",40.26655578613281,29.087984085083008,151.86203002929688,0.6914903473988044,55,55,100.0
40,2023-02-01,40,plant40,True,1315.0,1544.5,0.8514082227258012,211.9655101299286,52,47,401,"(1215.9072243346009, 623.1794676806084)",20,True,"(1215.3851318359375, 622.6102905273438)",54.744266510009766,34.29227828979492,127.95899963378906,0.7794948941067632,55,55,100.0
