,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
25,plant25,True,1153.0,1179.0,0.9779474130619169,143.29646337032318,49,35,344,"(622.6825672159583, 439.9722463139636)",26,True,"(622.9375610351562, 440.2401428222656)",46.701271057128906,31.464399337768555,105.4150390625,0.7389707241895385,55,55,100.0
26,plant26,True,1516.0,1705.5,0.8888888888888888,182.1248904466629,40,58,398,"(777.3146437994723, 446.87137203166225)",18,True,"(777.2379760742188, 446.16107177734375)",56.919639587402344,36.81611251831055,171.7848663330078,0.7626523665088558,55,55,100.0
27,plant27,True,816.0,853.0,0.9566236811254396,138.46803629398346,35,34,271,"(927.9914215686274, 444.7279411764706)",17,True,"(927.8073120117188, 444.4453125)",36.3521842956543,27.996177673339844,42.821807861328125,0.6378780007068136,55,55,100.0
28,plant28,True,1793.0,2023.5,0.88608846058809,204.75230705738068,51,56,377,"(1081.4445064138315, 447.7105409927496)",23,True,"(1081.2901611328125, 448.1636047363281)",56.2413215637207,45.488059997558594,155.3980712890625,0.588081868839825,55,55,100.0
29,plant29,True,1271.0,1381.0,0.9203475742215785,156.95331752300262,43,45,317,"(1233.9000786782062, 452.5129819040126)",19,True,"(1234.21923828125, 452.3631591796875)",46.97699737548828,37.142826080322266,149.0545654296875,0.6122556563563318,55,55,100.0
30,plant30,True,1506.0,1728.5,0.8712756725484524,199.09545290470123,56,47,388,"(1392.9946879150066, 451.72443559096945)",21,True,"(1393.398681640625, 452.2025146484375)",50.15359115600586,41.48851776123047,87.59493255615234,0.5618645410771896,55,55,100.0
31,plant31,True,1530.0,1917.5,0.7979139504563233,223.62236428260803,62,39,449,"(1554.8058823529411, 455.12614379084965)",14,True,"(1555.7427978515625, 455.4296875)",60.64058303833008,37.68178939819336,96.46112823486328,0.783497001267876,55,55,100.0
32,plant32,True,2439.0,2706.0,0.9013303769401331,224.89444243907928,73,55,498,"(1727.3517835178352, 459.68142681426815)",25,True,"(1727.7294921875, 459.1585998535156)",69.42173767089844,47.70376968383789,105.91769409179688,0.7265070896615544,55,55,100.0
33,plant33,True,1982.0,2576.0,0.7694099378881988,266.45079135894775,80,54,556,"(139.27043390514632, 588.8224016145308)",22,True,"(137.59860229492188, 590.0737915039062)",76.58716583251953,42.53580093383789,73.90644836425781,0.8315895331400389,55,55,100.0
34,plant34,True,1517.0,1592.0,0.9528894472361809,170.02438521385193,56,43,380,"(310.5530652603823, 588.1951219512196)",23,True,"(310.9012145996094, 588.4782104492188)",55.1093635559082,37.09529113769531,104.48515319824219,0.7395320146566383,55,55,100.0
35,plant35,True,1542.0,1713.0,0.9001751313485113,185.09545290470123,56,45,403,"(463.310635538262, 594.3813229571984)",22,True,"(462.6464538574219, 593.929931640625)",53.69567108154297,39.17695236206055,67.55146026611328,0.6838624030253717,55,55,100.0
36,plant36,True,1139.0,1208.0,0.9428807947019867,151.53910398483276,45,37,364,"(621.945566286216, 593.7585601404741)",22,True,"(621.7014770507812, 594.014892578125)",46.12232208251953,33.0402946472168,65.06629943847656,0.6977284540081405,55,55,100.0
37,plant37,True,1065.0,1121.5,0.9496210432456531,147.53910398483276,39,40,311,"(773.8985915492958, 594.3840375586855)",20,True,"(773.7664794921875, 594.4583129882812)",44.173187255859375,31.05108070373535,35.6804084777832,0.7112495894397765,55,55,100.0
38,plant38,True,1009.0,1023.0,0.9863147605083089,124.1248904466629,41,36,290,"(924.4390485629336, 593.7938553022794)",18,True,"(924.2662353515625, 593.7922973632812)",38.56585693359375,32.92435836791992,81.18819427490234,0.5207359459698192,55,55,100.0
39,plant39,True,1931.0,2092.5,0.9228195937873357,195.23758828639984,51,59,402,"(1080.1512169860175, 600.9621957534956)",19,True,"(1080.295166015625, 600.9707641601562)",55.86085510253906,45.595703125,32.6307373046875,0.5777170367837019,55,55,100.0
40,plant40,True,1049.0,1121.5,0.9353544360231832,146.36753106117249,42,43,293,"(1229.6348903717826, 602.5405147759772)",15,True,"(1230.099853515625, 602.9987182617188)",38.528255462646484,36.904476165771484,158.72991943359375,0.287252668980716,55,55,100.0
41,plant41,True,1167.0,1262.5,0.9243564356435644,160.36753106117249,51,35,369,"(1391.4730077120823, 606.0068551842331)",18,True,"(1391.3797607421875, 606.244384765625)",50.15653991699219,31.575634002685547,108.8826904296875,0.7769666871680794,55,55,100.0
42,plant42,True,1182.0,1228.5,0.9621489621489622,149.78174459934235,46,39,303,"(1548.9060913705584, 607.6912013536379)",21,True,"(1549.0802001953125, 607.5829467773438)",44.26215744018555,33.795711517333984,114.876708984375,0.6457663095669157,55,55,100.0
43,plant43,True,1695.0,2107.0,0.8044613194114856,230.99494767189026,63,50,451,"(1721.4365781710915, 616.2690265486725)",18,True,"(1722.2335205078125, 616.8890380859375)",60.54366683959961,39.687767028808594,111.60331726074219,0.7551751960580007,55,55,100.0
